KO,MA1,MA2,KG,WG,WH,SC,EA,EC,LE,EM,LP,PH1,PH2,CH1,CH2,BI1,BI2,EA1,EA2
140,134,149,66,65,65,67,67,72,65,62,67,66,70,67,67,67,68,74,66
131,128,135,66,64,63,64,67,68,64,62,65,64,68,64,67,66,64,67,65
125,122,128,64,62,63,62,63,64,62,62,63,62,64,61,63,63,62,63,62
117,118,118,60,60,60,59,59,59,59,60,60,59,60,58,59,59,59,59,60
107,110,106,53,54,55,55,53,53,55,56,54,55,53,55,54,54,55,53,54
95,97,92,45,46,45,47,46,45,48,46,46,48,45,49,46,47,45,47,46
83,82,81,40,41,40,40,41,40,42,40,40,40,41,41,40,40,40,41,40
72,70,75,38,36,37,36,38,39,35,36,37,36,38,35,37,37,37,37,37
64,63,71,35,33,35,34,35,36,31,34,34,32,36,31,35,34,35,34,35
